HC;NSIFT;HISTBINS;LBPPOINTS;LBPRADIUS;COMPUTESIFT;COMPUTEHOG;COMPUTEHIST;COMPUTELBP;ACCCLF;RECCLF;FSCORECLF;MSEREG;RMSEREG;MAEREG;TOP5ACC;TOP10ACC;TOP15ACC;TOP20ACC;TIME
HC;10;32;8;1;1;1;1;1;0.88232843902947;0.8784900603082422;0.8743886171631836;407.87461094333946;20.195905796555387;14.652192023326045;0.3165677392481516;0.4969280433197959;0.6252212850150994;0.7252941789024263;5:42:15.610651
HC;10;32;16;2;1;1;1;1;0.8818077684057065;0.8778199687290597;0.8738187882156754;374.7873436541821;19.35942518914707;13.949477593807492;0.3330209309590753;0.5202540872643966;0.6472977194626679;0.748932625221285;5:51:36.453885
HC;10;32;24;3;1;1;1;1;0.8821201707799646;0.8787134241679696;0.8742222222222222;378.26901604822564;19.449139210983752;14.21668575792287;0.317088409871915;0.5027595543059461;0.6391752577319587;0.7402894928668124;6:04:03.847047
HC;;32;8;1;0;1;1;1;0.8819119025304593;0.8773732410096047;0.8738598442714127;
HC;10;32;16;2;0;1;1;1;0.8817036342809539;0.8773732410096047;0.8736654804270463;376.40763013872976;19.40122754205851;13.976621888993023;0.32937623659273146;0.5175466000208269;0.6478183900864313;0.7488284910965324;1:29:47.334515
HC;10;32;24;3;0;1;1;1;0.8819119025304593;0.8775966048693321;0.8738879003558718;373.8428876392794;19.33501713573793;14.138029782359679;0.32042070186400085;0.5058835780485265;0.6360512339893784;0.7404977611163178;1:46:09.246663
HC;10;64;16;2;0;1;1;1;0.8817036342809539;0.8767031494304222;0.8735811261963053;384.56037175882534;19.61021090551617;14.118764969280432;0.33281266270956994;0.5137977715297303;0.6413620743517651;0.7426845777361242;1:36:48.452200
HC;10;64;24;3;0;1;1;1;0.8815995001562011;0.8767031494304222;0.8734839212195393;379.8485774121513;19.489704395196746;14.179943767572633;0.32458606685410807;0.5071331875455587;0.6367801728626471;0.7417473706133499;1:40:54.334793
HC;10;128;16;2;0;1;1;1;0.8805581589086744;0.8764797855706946;0.8724847137298499;388.34971420967986;19.706590628763767;14.178017286264708;0.32979277309174215;0.5141101739039884;0.6418827449755284;0.7374778714984901;1:42:36.861723
HC;10;128;8;1;0;0;1;0;0.7234197646568781;0.6649542104087559;0.6915214866434379;687.2588051187709;26.21562139486247;19.632979277309175;0.24273664479850046;0.38821201707799646;0.5040091638029782;0.6062688743101114;0:31:31.064240
HC;10;32;8;1;0;1;0;0;0.8830573779027387;0.8778199687290597;0.8749860848268952;434.1942390688095;20.83732802133732;15.153632545385124;0.31115276476101217;0.48641049671977504;0.6128293241695304;0.713631156930126;1:17:02.205672
HC;10;32;24;3;0;0;0;1;0.6670832031656774;0.6113468840741568;0.6312997347480106;495.01005472826785;22.24882142335337;16.712902218056858;0.2685619077371655;0.43049047172758514;0.5571175674268458;0.662605435801312;0:42:41.311866
HC;10;0;0;0;1;0;0;0;0.5958554618348433;0.5356265356265356;0.5527255964042872;763.988599164613;27.640343687526986;21.182977541740428;0.21680724773508278;0.35561803603040715;0.4587108195355618;0.5590961157971467;4:26:25.485333
